Item,Item Code,Item Code ALT,Case,Pack Size,Case Size,Total Qty,Ratio,Case Cost,Ratio Cost,Monday Pars,Tuesday Pars,Wednesday Pars,Thursday Pars,Friday Pars,Saturday Pars,Sunday Pars,Check Inventory,High Volume,Order
"6"" Tortilla Shells",940113,936013,"Case (24, 12 qty)",12,24,288,1,54.98,0,1,1,1,1,1,2,1,n,y,
51/49 EVOO,350649,,10 Lt Case,1,338,338,1,112.38,0,1,1,1,1,1,1,1,y,n,
90/10 Canola oil,350713,350432,"Case (6, 1 gal)",128,6,768,1,72.76,12.13,1,1,1,1,2,2,2,y,n,
American Cheese,33050,,"Case (4, 120 slice)",120,4,480,20,64.6,3.23,0.25,0.25,0.25,0.25,0.5,0.5,0.25,n,y,
A.P. Flour,205003,,"Case (2, 25 lb)",25,2,50,1,21.09,0,1,1,1,1,1,1,1,y,n,
A.P. Mayo,310441,,"Case (4, 1 gal)",128,4,512,1,59.98,15,1,1,1,1,1,1,1,y,n,
Apple Cider Vinegar,550402,,"Case (4, 1 gal)",128,4,512,1,17.68,4.42,1,1,1,1,1,1,1,y,n,
Artichoke Hearts,530603,,"Case (6, 6.614 lb)",6.614,6,39.684,1,65.34,10.89,0.1666666667,0.1666666667,0.1666666667,0.1666666667,0.1666666667,0.1666666667,0.1666666667,n,n,
Baby Kale,109095,102434,"Case (1, 3 lb)",1,3,3,1,25.88,8.63,2,2,2,2,2,3,2,n,y,
Baguettes,965163,,"Case (30, 1 qty)",1,30,30,1,42.89,10.72,0.5,0.5,0.5,0.5,0.5,1,0.5,n,n,
"Black Pepper, Ground",481304,,"Case (6, 18 fl oz)",18,6,108,1,134.98,1.25,1,1,1,1,1,1,1,y,y,
Buffalo Sauce,160518,,"Case (4, 128 fl oz)",128,4,512,1,78.98,0.31,0.25,0.25,0.25,0.25,0.5,0.5,0.5,n,y,
Burger Buns,932774,,"Case (60, 1 qty)",12,5,60,1,32.98,0.55,4,4,4,4,5,5,4,n,y,
Burger Meat,10451,,"Case (4, 5 lb)",5,4,20,20,97.4,4.87,4,4,4,4,5,5,4,n,y,
Butter,13602,,"Case (36, 1 lb)",1,36,36,36,139.32,3.87,0.5,0.5,0.5,0.5,0.5,1,0.5,y,n,
Buttermilk,61613,,"Case (12, 32 fl oz)",32,12,384,1,21.96,0,1,1,1,1,1,1,1,y,n,
Carrots,,,"Case (1, 5 lb)",1,5,5,1,1,1,1,1,1,1,1,1,1,,,
Cauliflower Wings,,,"Case (3, 6 lb)",3,6,18,1,1,1,1,1,1,1,1,1,1,,,
Celery Seed,481244,,"Case (12, 1 lb)",1,1,1,1,105.48,8.79,1,1,1,1,1,1,1,y,n,
Cherry Peppers,390421,,"Case (4, 128 fl oz)",128,4,512,1,76.89,19.22,1,1,1,1,1,1,1,y,n,
Chickpeas,520660,,"Case (6, 6.875 lb)",6.875,6,41.25,1,33.79,0.56,0.1666666667,0.1666666667,0.1666666667,0.1666666667,0.1666666667,0.3333333333,0.1666666667,n,n,
Chocolate Chip Cookie Dough,995470,,"Case (80, 1 qty)",1,80,80,1,78.98,3.16,0.5,0.5,0.5,0.5,0.5,1,0.5,n,n,
Chopped Bacon,400300,,"Case (2, 5 lb)",5,2,10,1,98.69,0.05,1,1,1,1,1,1,1,n,y,
Coleslaw Mix,109034,,"Case (4, 5 lb)",5,4,20,1,25.19,1.26,0.5,0.5,0.5,0.5,0.5,0.5,0.5,n,y,
Cranberry Sauce,,,,6,64,384,1,1,1,1,1,1,1,1,1,1,,,
Cucumbers,109068,,"Case (1, 12 ct)",12,1,12,1,15.05,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,n,n,
Dill Pickles,392006,,640 fl oz,640,1,640,1,31.89,0.45,0.5,0.5,0.5,0.5,1,1,0.5,n,y,
Dried Cranberries,563008,,Case (10 lbs),10,1,10,1,39.98,0.22,0.5,0.5,0.5,0.5,0.5,1,0.5,n,y,
Eggs,53005,,Case (15 doz),12,15,180,15,87.89,0.81,0.1666666667,0.1666666667,0.1666666667,0.1666666667,0.1666666667,0.1666666667,0.1666666667,n,y,
Farro,,,"Case (12, 1 lb)",1,12,12,1,1,1,1,1,1,1,1,1,1,,,
Feta,33509,,"Case (4, 2.5 lb)",2.5,4,10,10,49.8,4.98,0.25,0.25,0.25,0.25,0.25,0.25,0.25,n,n,
Flatbread (12x12),12063,,"Case (50, 1 qty)",1,50,50,1,60.96,0,2,2,2,2,2,2,2,n,y,
Flourless Chocolate Cake,881512,,Case (1 Cake),14,1,14,1,32.61,0,0.5,0.5,0.5,0.5,0.5,1,0.5,n,n,
French Fries,700706,,"Case (4, 5.5 lb)",5.5,4,22,1,36.87,1.68,10,10,10,10,12,12,10,n,y,
French's Mustard,324809,,"Case (4, 6.563 lb)",6.563,4,26.252,1,29.71,0,1,1,1,1,1,1,1,y,n,
Fried Chicken Breast,410575,,"Case (2, 5 lb)",28,1,28,1,39.79,0,6,6,6,6,7,7,6,n,y,
Frozen Haddock,960051,,"Case (27, 1 qty)",1,27,27,1,85.77,0,3,3,3,3,3,4,3,n,y,
Frozen Wings,410222,,"Case (2, 5 lb)",5,2,10,1,37.49,3.75,10,10,10,10,12,12,10,n,y,
Garlic Powder,481232,,"Case (1, 7 lb)",7,1,7,1,109.8,0,1,1,1,1,1,1,1,y,n,
GF Bread,960678,,"Case (6, 12 qty)",12,6,72,1,53.99,0.37,0.1666667,0.1666667,0.1666667,0.1666667,0.1666667,0.1666667,0.1666667,n,n,
GF Buns,932281,,Case (24 ct),1,24,24,1,39.05,1.63,0.5,0.5,0.5,0.5,0.5,0.5,0.5,n,n,
Gorgonzola Crumbles,30217,,"Case (4, 5lb)",5,4,20,20,119.6,0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,n,n,
Granny Smith Apples,109002,,Case (100ct),1,100,100,1,72.2,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,n,n,
Grapes,109082,,"Case (8, 2 lb)",2,8,16,1,55.98,0,0.5,0.5,0.5,0.5,0.5,1,0.5,n,n,
Grated Parm,31323,,"Case (4, 5#)",5,4,20,1,134.98,0,0.125,0.125,0.125,0.125,0.125,0.125,0.125,n,n,
Gruyere,30233,,"Case (2, 6.5 lb)",6.5,2,13,13,115.85,1.38,0.25,0.25,0.25,0.25,0.25,0.25,0.25,n,n,
Hot Honey,160577,,"Case (4, 64 fl oz)",64,4,256,1,59.89,0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,n,n,
Iceberg,109105,,Case (24ct),1,24,24,1,54.98,0,1,1,1,1,1,1,1,n,y,
Kalamata Olives,363015,,"Case (2, 80 fl oz)",1,8,8,1,129.98,0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,n,n,
Korean BBQ,161517,,"Case (4, 64 fl oz)",64,4,256,1,68.98,0,1,1,1,1,1,1,1,,,
Kosher Salt,433602,,"Case (12, 3 lb)",3,12,36,1,60.89,2.26,2,2,2,2,2,2,2,y,n,
Lemons,109102,,Case (140 ct),1,140,140,1,54.98,0.39,0.5,0.5,0.5,0.5,0.5,1,0.5,n,n,
Limes,109122,,Case (54 ct),1,54,54,1,32.98,0.61,2,2,2,2,2,2,2,n,n,
Mango Habanero,160572,,"Case (4, 64 fl oz)",64,4,256,1,53.42,0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,n,n,
Micro Greens,,,"Case (1, 8 oz)",1,0.5,0.5,1,1,1,1,1,1,1,1,1,1,,,
Mixed Greens,109121,,"Case (1, 3 lb)",3,1,3,1,15.87,5.29,6,6,6,6,8,8,6,n,y,
Muenster,133614,,"Case (6, 5 lb)",5,6,30,1,173.4,5.78,0.1666666667,0.1666666667,0.1666666667,0.1666666667,0.1666666667,0.1666666667,0.1666666667,n,n,
Panko,152016,,Bag (25 lb),25,1,25,1,29.44,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,y,n,
Paprika,470070,,"Case (6, 18 oz)",18,6,108,1,29.75,1.19,1,1,1,1,1,1,1,y,n,
Parsley,102097,,Per Pound,1,1,1,1,87.89,0.81,0.5,0.5,0.5,0.5,0.5,0.5,0.5,y,n,
Pepperoni cups,853344,,Case,5,2,10,10,7.89,7.89,0.5,0.5,0.5,0.5,1,1,0.5,n,y,
Pretzels,932914,,"Case (72, 2.4 oz)",0.15,72,10.8,1,111.59,0,6,6,6,6,8,8,6,n,y,
Provolone,,,"Case (6, 32 slice)",6,32,192,1,1,1,1,1,1,1,1,1,1,,,
Ranch Packets,161202,,"Case (20, 3.35 oz)",3.35,20,67,1,32.49,0.11,2,2,2,2,2,2,2,y,n,
Red Onions,109148,,Bag (25 lb),1,25,25,1,43.99,0.66,1,1,1,1,1,1,1,n,n,
Red Tomatoes,109229,,Case (25 lb),1,25,25,1,37.87,1.51,1,1,1,1,1,1,1,n,n,
Riccotta,,,"Case(4, 3 lb)",4,3,12,1,1,1,1,1,1,1,1,1,1,,,
Romaine,109120,,"Case (12, 3pk)",3,12,36,1,36.94,1.48,2,2,2,2,3,3,2,n,y,
Rosemary,,,"Case (1, 4 oz)",1,0.25,0.25,1,1,1,1,1,1,1,1,1,1,,,
Salmon (6oz),682204,,"Case (26, 1 qty)",1,26,26,10,43.98,12.89,1,1,1,1,2,2,1,n,n,
Scallions,102632,,Case (48 bunch),1,48,48,1,128.9,0,1,1,1,1,1,1,1,y,n,
Sesame Seeds,,,,1,18,18,1,1,1,1,1,1,1,1,1,1,,,
Shaved Parmesan,30302,,"Case (2, 5 lb)",5,2,10,10,59.69,0,1,1,1,1,0.5,1,0.5,n,n,
Shredded Mozzarella,100045,30351,"Case (6, 5 lb)",5,6,30,20,135.98,0,0.6666666667,0.6666666667,0.6666666667,0.6666666667,0.6666666667,0.6666666667,0.6666666667,n,y,
Shrimp,109661,,"Case (5, 2 lb)",2,5,10,10,111.8,5.59,3,3,3,3,4,4,3,n,y,
Sliced Cheddar,234444,,"Case (6, 32 slice)",32,6,192,9,64.9,6.49,1,1,1,1,1,1,1,n,y,
Sourdough ,932776,,"Case (6, 22 slice)",22,6,132,1,49.98,0,1.5,1.5,1.5,1.5,2,2,1.5,n,y,
Sugar,,,,1,25,25,1,1,1,1,1,1,1,1,1,1,,,
Swiss,,,"Case (6, 32 slice)",6,32,192,1,1,1,1,1,1,1,1,1,1,,,
Tabasco,461202,,"Case (12, 12 fl oz)",12,12,144,1,78.51,0,1,1,1,1,1,1,1,y,n,
Vanilla Ice Cream,842429,,384 fl oz,128,3,384,1,48.78,0,1,1,1,1,1,1,1,n,n,
Yellow Onions,109147,,Bag (50 lb),1,50,50,1,42.89,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,y,n,
Balsamic Vinaigrette,BALSAMIC_VINAIGRETTE,,5 gallon bucket,5,128,640,1,80.56,0,1,1,1,1,1,1,1,,,
Biscuit Topping,BISCUIT_TOPPING_COMMISSARY_FALL_24,,fish tub,1,6,6,1,5.90,1,1,1,1,1,1,1,1,,,
"Black Bean, Quinoa Burger","BLACK_BEAN,_QUINOA_&_CORN_BURGER_SPRING_23",,bus bin,10,5,50,1,35.70,0,1,1,1,1,1,1,1,,,
Blackened Seasoning,BLACKENED_SEASONING_-_COMMISSARY,,1 gallon bag,1,128,128,1,28.12,0,1,1,1,1,1,1,1,,,
Blue Cheese,BLUE_CHEESE_DRESSING,,5 gallon bucket,5,128,640,1,45.49,0,1,1,1,1,1,1,1,,,
Bolognese,BOLOGNESE_COMMISSARY_24_,,1 gallon bag,1,128,128,1,9.73,0,1,1,1,1,1,1,1,,,
Boneless,6459750,,10 lb bags,1,10,10,1,38.88,0,1,1,1,1,1,1,1,,,
Brown Gravy,BROWN_GRAVY_COMMISSARY_FALL_24,,1 gallon bag,1,128,128,1,10.99,1,1,1,1,1,1,1,1,,,
Buffalo Chicken Meatballs,BUFFALO_CHICKEN_MEATBALLS_COMMISSARY_FALL_24,,fish tub,1,100,100,1,38.90,1,1,1,1,1,1,1,1,,,
Burger Sauce,BURGER_SAUCE,,5 gallon bucket,1,128,128,1,77.18,0,1,1,1,1,1,1,1,,,
Burnt Ends,BURNT_ENDS,,1 gallon bag,1,15,15,1,62.61,0,1,1,1,1,1,1,1,,,
Caesar Dressing,CAESAR_DRESSING,,5 gallon bucket,5,128,640,1,97.91,0,1,1,1,1,1,1,1,,,
Cali-Burrito Eggrolls,CALI-BURRITO_EGGROLS_COMMISSARY_FALL_24,,fish tub,1,40,40,1,50.12,1,1,1,1,1,1,1,1,,,
Candied Jalapenos,CANDIED_JALAPENOS,,case 72 nwoz,4.5,6,27,1,198.00,0,1,1,1,1,1,1,1,,,
Candied Walnuts,CANDIED_WALNUTS,,10 lb bags,1,10,10,1,30.32,0,1,1,1,1,1,1,1,,,
Caramelized Onions,CARAMELIZED_ONIONS_FALL_23,,1 gallon bag 5lb,1,5,5,1,31.26,0,1,1,1,1,1,1,1,,,
Carolina BBQ,CAROLINA_BBQ_SAUCE,,5 gallon bucket,5,128,640,1,61.86,0,1,1,1,1,1,1,1,,,
CBR Dip,CBR_DIP_COMMISSARY_FALL_24,,1 gallon bag,1,128,128,1,29.29,1,1,1,1,1,1,1,1,,,
Cheese Sauce,CHEESE_SAUCE,,2 gallon bag,2,128,256,1,26.14,0,1,1,1,1,1,1,1,,,
Chicken Pot Pie,CHICKEN_POT_PIE_FALL_23,,3 gallon bag,3,128,384,1,41.73,1,1,1,1,1,1,1,1,,,
Cocktail Sauce,COCKTAIL_SAUCE_SPRING_23,,5 gallon bucket,5,128,640,1,39.85,0,1,1,1,1,1,1,1,,,
Creamed Spinach,CREAMED_SPINACH_COMMISSARY_FALL_24_,,1 gallon bag,1,128,128,1,10.28,1,1,1,1,1,1,1,1,,,
Creamy Buffalo,CREAMY_BUFFALO_SAUCE_,,4 gallon bag,4,128,512,1,24.44,1,1,1,1,1,1,1,1,,,
French Onion Soup,FRENCH_ONION_SOUP_COMMISSARY_FALL_24,,1 gallon bag,1,128,128,1,21.39,1,1,1,1,1,1,1,1,,,
Garlic Butter,,,1 gallon bag,1,5,5,1,19.57,1,1,1,1,1,1,1,1,,,
Ham,HAM_FALL_23,,1 gallon bag,1,10,10,1,58.24,1,1,1,1,1,1,1,1,,,
Herb Oil,HERB_OIL_SPICE_KIT_COMMISSARY_24,,small seal bag (floz),1,3,3,1,30.65,0,1,1,1,1,1,1,1,,,
House Fries,HOUSE_FRIES_COMMISSARY_24,,"4, 5lb ",4,5,20,1,22.71,0,1,1,1,1,1,1,1,,,
Jalapeno Mac Balls,JALAPENO_MAC_BALLS_COMMISSARY_FALL_24,,fish tub,1,48,48,1,33.06,1,1,1,1,1,1,1,1,,,
Jalapeno Ranch,JALAPENO_RANCH,,5 gallon bucket,5,128,640,1,81.95,0,1,1,1,1,1,1,1,,,
Lemon Dijon Vinaigrette,LEMON_DIJON_VIN_FALL_23,,5 gallon bucket,5,128,640,1,32.64,0,1,1,1,1,1,1,1,,,
Malt Vinegar Aioli,MALT_VINEGAR_AIOLI_COMMISSARY_24,,1 gallon bag,1,128,128,1,18.45,0,1,1,1,1,1,1,1,,,
Marinara,MARINARA_24,,2 gallon bag,2,128,256,1,29.20,0,1,1,1,1,1,1,1,,,
Mashed Potatoes,MASHED_POTATOES_COMMISSARY_FALL_24,,1 gallon bag,1,10,10,1,13.85,1,1,1,1,1,1,1,1,,,
Meatballs,MEATBALLS_COMMISSARY_24,,seal bag,1,65,65,1,29.44,0,1,1,1,1,1,1,1,,,
Meatloaf,MEATLOAF_COMMISSARY_FALL_24,,1 gallon bag,1,12,12,1,46.27,1,1,1,1,1,1,1,1,,,
Pancetta Onion Jam,,,1 gallon bag,1,128,128,1,65.64,1,1,1,1,1,1,1,1,,,
Pickled Red Onions,PICKLED_RED_ONIONS_UPDATED,,5 gallon bucket,1,40,40,1,80.39,0,1,1,1,1,1,1,1,,,
Pico De Gallo,PICO_DE_GALLO_-_COMMISSARY,,5 lb bag,1,5,5,1,12.32,0,1,1,1,1,1,1,1,,,
Pulled Pork,PULLED_PORK,,15 lb bag,1,15,15,1,26.57,0,1,1,1,1,1,1,1,,,
Ranch,RANCH_DRESSING,,5 gallon bucket,5,128,640,1,71.89,0,1,1,1,1,1,1,1,,,
Roast Beef,ROAST_BEEF_COMMISSARY_FALL_24,,,1,10,10,1,49.43,1,1,1,1,1,1,1,1,,,
Raw Pasta,RAW_PASTA_FALL_23,,40 lb,1,40,40,1,18.44,0,1,1,1,1,1,1,1,,,
Roasted Chicken,ROASTED_CHICKEN_-_COMMISSARY,,15 lb bag qty,1,25,25,1,82.01,0,1,1,1,1,1,1,1,,,
Roasted Tomatoes,ROASTED_TOMATOES,,fish tub 10lb,1,10,10,1,40.34,0,1,1,1,1,1,1,1,,,
Short Rib Dumplings,SHORT_RIB_DUMPLINGSCOMMISSARY_FALL_24,,fish tub,1,125,125,1,92.35,1,1,1,1,1,1,1,1,,,
Shredded Chicken,SHREDDED_CHICKEN_-_COMMISSARY_24,,15 lb bag,1,15,15,1,55.70,0,1,1,1,1,1,1,1,,,
Stuffing,STUFFING_COMMISSARY_FALL_24,,1 gallon bag,1,5,5,1,8.34,1,1,1,1,1,1,1,1,,,
Tartar Sauce,TARTAR_SAUCE_SPRING_23,,5 gallon bucket,5,128,640,1,78.27,0,1,1,1,1,1,1,1,,,
Thai Peanut Sauce,THAI_PEANUT_SAUCE_COMMISSARY_FALL_24,,seal bag,1,64,64,1,15.51,1,1,1,1,1,1,1,1,,,
Tomato Soup,TOMATO_SOUP_FALL_23,,1 gallon bag,1,128,128,1,13.43,1,1,1,1,1,1,1,1,,,
Turkey,TURKEY_COMMISSARY_FALL_24,,seal bag,1,10,10,1,53.86,1,1,1,1,1,1,1,1,,,
Thick Chips,,,,6,5,30,1,1,1,1,1,1,1,1,1,1,,,